tweet_id,text,name,numerator_rating,denominator_rating,jpg_url,breed,lang,favorite_count,retweet_count,stage,day,month,year
668641109086707712,Meet Hanz. He heard some thunder. 10/10 https://t.co/pKJK23j0QZ,Hanz,10.0,10.0,https://pbs.twimg.com/media/CUd9ivxWUAAuXSQ.jpg,pug,en,1099.0,558.0,None,23,11,2015
668655139528511488,Say hello to Winifred. He is a Papyrus Hydrangea mix. Can tie shoes. 11/10 inspiring pup https://t.co/mwnBN6ZkPt,Winifred,11.0,10.0,https://pbs.twimg.com/media/CUeKTeYW4AEr_lx.jpg,beagle,en,543.0,226.0,None,23,11,2015
668779399630725120,This is Kevon. He is not physically or mentally prepared to start his Monday. 10/10 totes relatable https://t.co/YVAJgWHzPW,Kevon,10.0,10.0,https://pbs.twimg.com/media/CUf7UIaWUAEuKFr.jpg,Chesapeake_Bay_retriever,en,721.0,382.0,None,23,11,2015
668826086256599040,This is Banditt. He is a brown LaBeouf retriever. Loves cold weather. 4 smaller dogs are his sons (probably). 10/10 https://t.co/Ko7eCsFpnI,Banditt,10.0,10.0,https://pbs.twimg.com/media/CUglxbFXAAA5O0d.jpg,malinois,en,447.0,144.0,None,23,11,2015
668852170888998912,Say hello to Bobb. Bobb is a Golden High Fescue &amp; a proud father of 8. Bobb sleeps while the little pups play. 11/10 https://t.co/OmxouCZ8IY,Bobb,11.0,10.0,https://pbs.twimg.com/media/CUg9gBvWoAAmx-2.jpg,golden_retriever,en,464.0,173.0,None,23,11,2015
668872652652679168,This is Amélie. She is a confident white college girl. Extremely intimidating. Literally can't rn omg. 11/10 fab https://t.co/up0MHRxelf,Amélie,11.0,10.0,https://pbs.twimg.com/media/CUhQIAhXAAA2j7u.jpg,miniature_schnauzer,en,542.0,310.0,None,23,11,2015
668892474547511297,This is Ruffles. He is an Albanian Shoop Da Whoop. He just noticed the camera. Patriotic af. Classy hardwood. 11/10 https://t.co/HyDpTU5Jhj,Ruffles,11.0,10.0,https://pbs.twimg.com/media/CUhiJ63WEAAw2qm.jpg,kelpie,en,408.0,156.0,None,23,11,2015
668902994700836864,Meet Lambeau. He's a Whistling Haiku from the plains of southern Guatemala. 11/10 so. damn. majestic. https://t.co/UqCvpSgMJe,Lambeau,11.0,10.0,https://pbs.twimg.com/media/CUhruUgUAAAa8FQ.jpg,Brittany_spaniel,en,326.0,105.0,None,23,11,2015
668633411083464705,This is Churlie. He likes bagels. 10/10 https://t.co/k8P6FZlzAG,Churlie,10.0,10.0,https://pbs.twimg.com/media/CUd2ieCUcAAexyT.jpg,Pekinese,en,2884.0,1712.0,None,23,11,2015
668932921458302977,This is Herald. He likes to swing. Subtle tongue slip. Owner good at b-ball. Creepy person on bench back there. 9/10 https://t.co/rcrKkL7eB6,Herald,9.0,10.0,https://pbs.twimg.com/media/CUiG6_ZXAAAPaw_.jpg,standard_poodle,en,274.0,59.0,None,23,11,2015
668979806671884288,This is Chaz. He's an X Games half pipe superstar. 6 gold medals. Lost back legs saving a baby from a tornado 12/10 https://t.co/uxdOfblUB0,Chaz,12.0,10.0,https://pbs.twimg.com/media/CUixld6WoAArDrJ.jpg,golden_retriever,en,811.0,362.0,None,24,11,2015
668960084974809088,Meet Jaycob. He got scared of the vacuum. Hide &amp; seek champ. Almost better than Kony. Solid shampoo selection. 10/10 https://t.co/952hUV6RiK,Jaycob,10.0,10.0,https://pbs.twimg.com/media/CUifpn4WUAAS5X3.jpg,Chesapeake_Bay_retriever,en,724.0,248.0,None,24,11,2015
668631377374486528,Meet Zeek. He is a grey Cumulonimbus. Zeek is hungry. Someone should feed Zeek asap. 5/10 absolutely terrifying https://t.co/fvVNScw8VH,Zeek,5.0,10.0,https://pbs.twimg.com/media/CUd0sSvWsAA85wO.jpg,miniature_schnauzer,en,738.0,327.0,None,23,11,2015
668625577880875008,This is Maks. Maks just noticed something wasn't right. 10/10 https://t.co/0zBycaxyvs,Maks,10.0,10.0,https://pbs.twimg.com/media/CUdvambWoAA007z.jpg,groenendael,en,398.0,140.0,None,23,11,2015
667902449697558528,This is Cleopatricia. She is a northern Paperback Maple. Set up hammock somehow. 9/10 would chill in hammock with https://t.co/sJeHdGUt0W,Cleopatricia,9.0,10.0,https://pbs.twimg.com/media/CUTdvAJXIAAMS4q.jpg,Norwegian_elkhound,en,864.0,385.0,None,21,11,2015
667915453470232577,Meet Otis. He is a Peruvian Quartzite. Pic sponsored by Planters. Ears on point. Killer sunglasses. 10/10 ily Otis https://t.co/tIaaBIMlJN,Otis,10.0,10.0,https://pbs.twimg.com/media/CUTpj-GWcAATc6A.jpg,boxer,en,214.0,58.0,None,21,11,2015
667924896115245057,This is Jiminy. He has always wanted to be a cheerleader. Can jump high enough to get on other dog. Go Jiminy. 9/10 https://t.co/fW6kIPFGD2,Jiminy,9.0,10.0,https://pbs.twimg.com/media/CUTyJpHWcAATl0O.jpg,Labrador_retriever,en,307.0,114.0,None,21,11,2015
668113020489474048,This is Alfie. He's that one hypocritical gym teacher who made you run laps. Great posture. Cool bench. 6/10 https://t.co/GCJzm3YsfX,Alfie,6.0,10.0,https://pbs.twimg.com/media/CUWdPsqWcAERQVv.jpg,Pembroke,en,676.0,252.0,None,21,11,2015
668190681446379520,This is Skittles. I would kidnap Skittles. Pink dog in back hasn't moved in days. 12/10 https://t.co/2wm0POA9N2,Skittles,12.0,10.0,https://pbs.twimg.com/media/CUXj4SgXAAETlu6.jpg,Blenheim_spaniel,en,666.0,200.0,None,21,11,2015
